iter	Passed	Remaining
400	15688	23434
401	15723	23389
402	15761	23348
403	15798	23307
404	15836	23265
405	15871	23221
406	15905	23173
407	15942	23132
408	15981	23092
409	16020	23053
410	16056	23010
411	16096	22972
412	16128	22923
413	16163	22878
414	16197	22833
415	16238	22796
416	16278	22758
417	16314	22715
418	16352	22674
419	16387	22630
420	16423	22586
421	16464	22550
422	16501	22509
423	16539	22468
424	16577	22427
425	16615	22388
426	16652	22345
427	16693	22309
428	16731	22269
429	16772	22232
430	16806	22188
431	16842	22144
432	16878	22102
433	16918	22064
434	16957	22024
435	16991	21980
436	17033	21945
437	17068	21900
438	17110	21865
439	17144	21820
440	17181	21779
441	17219	21738
442	17256	21697
443	17293	21655
444	17330	21614
445	17368	21574
446	17408	21536
447	17446	21497
448	17484	21456
449	17523	21417
450	17557	21372
451	17596	21333
452	17636	21295
453	17673	21255
454	17708	21211
455	17745	21170
456	17783	21130
457	17823	21092
458	17858	21049
459	17895	21007
460	17928	20961
461	17966	20921
462	18002	20879
463	18043	20843
464	18078	20799
465	18116	20760
466	18154	20719
467	18192	20680
468	18234	20644
469	18271	20604
470	18308	20563
471	18342	20518
472	18380	20478
473	18416	20437
474	18453	20395
475	18489	20354
476	18533	20320
477	18571	20281
478	18609	20241
479	18642	20195
480	18681	20157
481	18720	20119
482	18757	20078
483	18795	20038
484	18829	19994
485	18864	19951
486	18901	19910
487	18939	19871
488	18977	19831
489	19009	19785
490	19044	19742
491	19085	19706
492	19122	19665
493	19163	19629
494	19201	19589
495	19240	19550
496	19276	19509
497	19315	19470
498	19352	19430
499	19393	19393
500	19430	19353
501	19467	19311
502	19504	19272
503	19542	19232
504	19575	19187
505	19611	19146
506	19650	19107
507	19686	19066
508	19722	19025
509	19758	18983
510	19790	18938
511	19827	18897
512	19867	18861
513	19903	18818
514	19942	18780
515	19975	18736
516	20013	18697
517	20048	18655
518	20087	18617
519	20123	18575
520	20158	18533
521	20193	18491
522	20235	18455
523	20273	18416
524	20307	18373
525	20344	18332
526	20378	18290
527	20412	18247
528	20450	18208
529	20489	18170
530	20528	18131
531	20566	18092
532	20603	18052
533	20647	18018
534	20685	17979
535	20722	17939
536	20761	17900
537	20798	17860
538	20839	17823
539	20874	17781
540	20912	17742
541	20949	17702
542	20989	17665
543	21026	17624
544	21062	17583
545	21100	17544
546	21138	17505
547	21172	17463
548	21208	17422
549	21242	17380
550	21283	17343
551	21325	17307
552	21362	17267
553	21401	17228
554	21439	17190
555	21472	17147
556	21508	17106
557	21544	17065
558	21581	17025
559	21618	16985
560	21655	16946
561	21690	16904
562	21727	16864
563	21764	16824
564	21798	16783
565	21836	16744
566	21879	16708
567	21916	16669
568	21953	16629
569	21989	16588
570	22026	16549
571	22064	16509
572	22098	16467
573	22135	16428
574	22172	16388
575	22209	16348
576	22249	16311
577	22286	16271
578	22321	16230
579	22355	16188
580	22393	16149
581	22427	16108
582	22462	16066
583	22499	16027
584	22539	15989
585	22575	15949
586	22612	15909
587	22651	15871
588	22691	15833
589	22730	15795
590	22769	15757
591	22806	15717
592	22844	15679
593	22881	15639
594	22921	15602
595	22958	15562
596	22996	15523
597	23031	15482
598	23071	15445
599	23112	15408
600	23149	15368
601	23183	15327
602	23221	15288
603	23259	15249
604	23302	15214
605	23336	15172
606	23372	15132
607	23409	15093
608	23448	15054
609	23487	15016
610	23526	14978
611	23561	14937
612	23599	14898
613	23643	14863
614	23680	14824
615	23714	14783
616	23751	14743
617	23789	14705
618	23829	14667
619	23863	14625
620	23902	14587
621	23939	14548
622	23977	14509
623	24017	14471
624	24051	14430
625	24090	14392
626	24128	14354
627	24165	14314
628	24200	14274
629	24237	14234
630	24277	14197
631	24314	14157
632	24350	14118
633	24390	14080
634	24427	14041
635	24464	14001
636	24502	13963
637	24541	13924
638	24579	13885
639	24616	13846
640	24653	13807
641	24692	13769
642	24731	13731
643	24766	13690
644	24804	13652
645	24840	13612
646	24877	13572
647	24917	13535
648	24954	13496
649	24990	13456
650	25029	13418
651	25063	13377
652	25100	13338
653	25138	13299
654	25174	13260
655	25211	13220
656	25246	13180
657	25283	13141
658	25318	13101
659	25357	13062
660	25394	13024
661	25435	12986
662	25471	12947
663	25513	12910
664	25549	12870
665	25586	12831
666	25626	12794
667	25663	12755
668	25701	12716
669	25737	12676
670	25771	12636
671	25809	12597
672	25846	12558
673	25883	12519
674	25918	12479
675	25955	12439
676	25995	12402
677	26032	12363
678	26070	12325
679	26105	12284
680	26139	12244
681	26178	12206
682	26216	12168
683	26252	12128
684	26291	12090
685	26328	12051
686	26365	12012
687	26401	11972
688	26436	11932
689	26474	11894
690	26509	11854
691	26549	11816
692	26591	11779
693	26631	11742
694	26668	11703
695	26706	11665
696	26744	11626
697	26781	11587
698	26819	11549
699	26856	11509
700	26891	11470
701	26930	11432
702	26968	11393
703	27004	11353
704	27039	11314
705	27081	11277
706	27118	11238
707	27156	11200
708	27199	11163
709	27241	11126
710	27281	11089
711	27321	11051
712	27359	11012
713	27394	10973
714	27430	10933
715	27465	10894
716	27502	10855
717	27540	10816
718	27580	10779
719	27621	10741
720	27663	10704
721	27700	10665
722	27738	10627
723	27778	10589
724	27817	10551
725	27854	10512
726	27890	10473
727	27930	10435
728	27968	10396
729	28004	10357
730	28042	10319
731	28078	10280
732	28114	10240
733	28151	10202
734	28196	10165
735	28232	10126
736	28281	10092
737	28324	10055
738	28371	10020
739	28413	9982
740	28452	9944
741	28488	9905
742	28530	9868
743	28568	9830
744	28609	9792
745	28686	9767
746	28730	9730
747	28770	9692
748	28811	9655
749	28852	9617
750	28890	9578
751	28935	9542
752	28975	9504
753	29015	9466
754	29058	9429
755	29102	9392
756	29144	9355
757	29183	9317
758	29223	9279
759	29264	9241
760	29305	9203
761	29345	9165
762	29385	9127
763	29430	9091
764	29475	9054
765	29515	9016
766	29556	8978
767	29596	8940
768	29637	8902
769	29675	8864
770	29717	8826
771	29757	8788
772	29800	8751
773	29838	8712
774	29876	8673
775	29917	8635
776	29954	8596
777	29992	8558
778	30032	8520
779	30073	8482
780	30113	8444
781	30151	8405
782	30191	8367
783	30236	8330
784	30279	8293
785	30319	8254
786	30359	8216
787	30398	8178
788	30438	8140
789	30477	8101
790	30518	8063
791	30560	8026
792	30599	7987
793	30641	7949
794	30679	7911
795	30721	7873
796	30757	7833
797	30796	7795
798	30840	7758
799	30881	7720
800	30918	7681
801	30960	7643
802	30997	7604
803	31039	7566
804	31081	7529
805	31121	7490
806	31160	7452
807	31198	7413
808	31236	7374
809	31277	7336
810	31319	7298
811	31358	7260
812	31394	7221
813	31433	7182
814	31476	7144
815	31517	7106
816	31557	7068
817	31592	7029
818	31637	6991
819	31675	6953
820	31715	6914
821	31756	6876
822	31797	6838
823	31838	6800
824	31881	6762
825	31920	6724
826	31957	6685
827	31999	6647
828	32038	6608
829	32083	6571
830	32125	6533
831	32164	6494
832	32203	6456
833	32244	6418
834	32284	6379
835	32331	6342
836	32371	6304
837	32411	6265
838	32450	6227
839	32496	6189
840	32545	6153
841	32592	6115
842	32632	6077
843	32672	6039
844	32711	6000
845	32751	5961
846	32790	5923
847	32827	5884
848	32863	5844
849	32908	5807
850	32949	5769
851	32989	5730
852	33026	5691
853	33067	5653
854	33107	5614
855	33148	5576
856	33189	5537
857	33229	5499
858	33270	5461
859	33309	5422
860	33348	5383
861	33387	5345
862	33430	5307
863	33468	5268
864	33507	5229
865	33550	5191
866	33592	5153
867	33633	5114
868	33670	5075
869	33711	5037
870	33751	4998
871	33787	4959
872	33829	4921
873	33868	4882
874	33908	4844
875	33949	4805
876	33990	4767
877	34033	4729
878	34080	4691
879	34131	4654
880	34181	4617
881	34223	4578
882	34263	4539
883	34307	4501
884	34348	4463
885	34395	4425
886	34439	4387
887	34482	4349
888	34523	4310
889	34562	4271
890	34607	4233
891	34648	4195
892	34692	4156
893	34739	4119
894	34785	4080
895	34825	4042
896	34866	4003
897	34908	3965
898	34949	3926
899	34990	3887
900	35031	3849
901	35077	3811
902	35123	3773
903	35169	3734
904	35213	3696
905	35251	3657
906	35293	3618
907	35336	3580
908	35376	3541
909	35416	3502
910	35454	3463
911	35495	3425
912	35531	3385
913	35576	3347
914	35627	3309
915	35675	3271
916	35717	3232
917	35757	3194
918	35799	3155
919	35840	3116
920	35883	3077
921	35922	3038
922	35964	3000
923	36008	2961
924	36046	2922
925	36086	2883
926	36132	2845
927	36178	2806
928	36223	2768
929	36269	2729
930	36310	2691
931	36353	2652
932	36391	2613
933	36433	2574
934	36468	2535
935	36505	2496
936	36546	2457
937	36582	2418
938	36622	2379
939	36663	2340
940	36704	2301
941	36745	2262
942	36788	2223
943	36839	2185
944	36886	2146
945	36932	2108
946	36970	2069
947	37011	2030
948	37051	1991
949	37091	1952
950	37131	1913
951	37176	1874
952	37219	1835
953	37259	1796
954	37299	1757
955	37336	1718
956	37376	1679
957	37415	1640
958	37458	1601
959	37496	1562
960	37549	1523
961	37697	1489
962	37743	1450
963	37777	1410
964	37816	1371
965	37853	1332
966	37888	1292
967	37925	1253
968	37961	1214
969	38003	1175
970	38040	1136
971	38075	1096
972	38116	1057
973	38154	1018
974	38197	979
975	38240	940
976	38281	901
977	38319	861
978	38363	822
979	38407	783
980	38450	744
981	38495	705
982	38537	666
983	38576	627
984	38616	588
985	38654	548
986	38692	509
987	38729	470
988	38769	431
989	38809	392
990	38845	352
991	38881	313
992	38918	274
993	38954	235
994	38995	195
995	39033	156
996	39072	117
997	39111	78
998	39151	39
999	39190	0
