iter	MultiClass
0	0.93769989
1	0.8184278378
2	0.7243403022
3	0.6479834771
4	0.5856358573
5	0.5329418973
6	0.4881660965
7	0.4490252538
8	0.4161461157
9	0.3874995088
10	0.3629144424
11	0.3414062321
12	0.320811688
13	0.3036954757
14	0.2888608494
15	0.2751138311
16	0.2629589462
17	0.2519333174
18	0.2418328898
19	0.2332734539
20	0.2252478846
21	0.2178201134
22	0.2114213805
23	0.2051367468
24	0.1996126162
25	0.1946899431
26	0.190441369
27	0.1861697667
28	0.1829705255
29	0.1796404865
30	0.1759732055
31	0.1729737011
32	0.1703484268
33	0.1670879444
34	0.1642506599
35	0.1615589198
36	0.1596843191
37	0.1579770361
38	0.155953952
39	0.1538218863
40	0.1523188331
41	0.1506559835
42	0.1489251074
43	0.1476574038
44	0.1461856474
45	0.144889801
46	0.1438924439
47	0.1425192406
48	0.1416952019
49	0.1406940147
50	0.1394920459
51	0.1384124512
52	0.1377966247
53	0.1371764421
54	0.1361550828
55	0.1352223986
56	0.1344971426
57	0.1334938384
58	0.1327701095
59	0.1319661865
60	0.1310823472
61	0.130319357
62	0.1298748388
63	0.1293616033
64	0.1286802084
65	0.1280549242
66	0.1273408202
67	0.1269334573
68	0.1265320846
69	0.125898376
70	0.1254201049
71	0.1247541467
72	0.1243610988
73	0.1240606807
74	0.123636893
75	0.123116877
76	0.1226723431
77	0.1222425009
78	0.1219779381
79	0.1215600584
80	0.1209657768
81	0.120362631
82	0.1201213641
83	0.1196873053
84	0.1192642446
85	0.1189453022
86	0.1185973273
87	0.1183621311
88	0.1180300654
89	0.1176033267
90	0.1172156847
91	0.1168960751
92	0.116591123
93	0.1162196437
94	0.1157605894
95	0.1153973442
96	0.1150832491
97	0.1148625439
98	0.1146116321
99	0.1142779208
100	0.1140496259
101	0.1136965422
102	0.113466019
103	0.113288214
104	0.1131130246
105	0.1128865043
106	0.1126221319
107	0.1124234767
108	0.1121650177
109	0.1120025895
110	0.1119201609
111	0.1117030784
112	0.1114227461
113	0.1111989646
114	0.1109336779
115	0.1106384662
116	0.1103265536
117	0.1101922087
118	0.1099719204
119	0.109668969
120	0.109453674
121	0.1090915683
122	0.1087714075
123	0.1086283792
124	0.1084775887
125	0.108325897
126	0.1080362796
127	0.1079083226
128	0.1077500739
129	0.1075500875
130	0.1073338631
131	0.107138574
132	0.1070317455
133	0.1069349242
134	0.1068222993
135	0.1065603249
136	0.1063242322
137	0.1062557015
138	0.1061211984
139	0.1058910753
140	0.1057067541
141	0.1055803392
142	0.105371863
143	0.1052003085
144	0.105115427
145	0.1049025183
146	0.1048098493
147	0.1045296302
148	0.1043753257
149	0.1043055881
150	0.1041906355
151	0.1039881031
152	0.1038703997
153	0.1037959562
154	0.1035664091
155	0.1034116143
156	0.1032794659
157	0.103174071
158	0.1030738274
159	0.102922631
160	0.1028294543
161	0.1027312056
162	0.1026096365
163	0.1023615412
164	0.1022477596
165	0.1021726259
166	0.1020247047
167	0.1019399404
168	0.101812007
169	0.1017264495
170	0.1015608751
171	0.1014636966
172	0.1013647041
173	0.1012211395
174	0.1011137184
175	0.1009458482
176	0.1008366529
177	0.100742534
178	0.1006270631
179	0.1005463317
180	0.1004462772
181	0.1003252661
182	0.1001873855
183	0.1001190735
184	0.1000516261
185	0.09998872689
186	0.09990574345
187	0.09984464775
188	0.09978238794
189	0.0996975049
190	0.09960973465
191	0.09953978063
192	0.09946457032
193	0.09942062539
194	0.09930128955
195	0.09921014357
196	0.09904336274
197	0.09894699299
198	0.09878258205
199	0.09860779163
200	0.09855200328
201	0.09839385961
202	0.09822414945
203	0.09814281286
204	0.09802428529
205	0.09796330938
206	0.09788857528
207	0.09780966782
208	0.09766865753
209	0.09761502973
210	0.09753617008
211	0.09747142088
212	0.09730688452
213	0.0971887463
214	0.09704768968
215	0.09697040293
216	0.09690089591
217	0.09684889039
218	0.09677776902
219	0.09673589165
220	0.09661077449
221	0.09647240592
222	0.09642572816
223	0.09634022742
224	0.09628459199
225	0.09618391518
226	0.09614229968
227	0.09605165042
228	0.09599306028
229	0.09593221013
230	0.09585447312
231	0.0958200099
232	0.09569743423
233	0.09561669804
234	0.09547886164
235	0.09536531406
236	0.0952981802
237	0.09521209082
238	0.0950888886
239	0.09498838765
240	0.09489403381
241	0.09482548469
242	0.0947626998
243	0.09467499194
244	0.09459154739
245	0.09453094994
246	0.09443095287
247	0.09437179918
248	0.09429127253
249	0.09425089298
250	0.09418726217
251	0.09414963312
252	0.0941052022
253	0.09405682684
254	0.09397564351
255	0.09391068973
256	0.09388845053
257	0.09384892604
258	0.09374837638
259	0.09367180271
260	0.09353823505
261	0.09340279444
262	0.09335045875
263	0.09332120663
264	0.09325808829
265	0.09323209477
266	0.09317194916
267	0.09312144311
268	0.09305364975
269	0.09301887793
270	0.09295751533
271	0.09290696332
272	0.09280179657
273	0.09276427728
274	0.09268383818
275	0.0926312266
276	0.09255661265
277	0.09247752174
278	0.09242670897
279	0.09238787371
280	0.09234708352
281	0.09230802869
282	0.09215313946
283	0.09210861931
284	0.09203864032
285	0.09199304475
286	0.09194167815
287	0.09188415579
288	0.09183436898
289	0.09174433671
290	0.09167946628
291	0.09165384127
292	0.09161425007
293	0.09155174471
294	0.0914352147
295	0.09134798654
296	0.09130966435
297	0.09125842629
298	0.09116068768
299	0.09106207452
300	0.09103269519
301	0.09097490946
302	0.09092528792
303	0.09087666579
304	0.09083446947
305	0.09080249602
306	0.09074715099
307	0.09062325312
308	0.09058948795
309	0.09054104877
310	0.09043423754
311	0.09039074453
312	0.09032692542
313	0.0902803063
314	0.09020346525
315	0.09012817487
316	0.09009551047
317	0.09005185388
318	0.09001902029
319	0.08997452673
320	0.08989668261
321	0.08986270165
322	0.08980796181
323	0.08975205364
324	0.08970426948
325	0.08967289798
326	0.0896154214
327	0.08953305869
328	0.08945215759
329	0.08940551217
330	0.08932919775
331	0.08928860114
332	0.08925836932
333	0.08915681227
334	0.0891173101
335	0.08905909626
336	0.08902138012
337	0.08898169514
338	0.08890049904
339	0.08883464455
340	0.08870255718
341	0.08867504186
342	0.08864890525
343	0.08861565443
344	0.08858280994
345	0.08854929845
346	0.08848044445
347	0.08840571409
348	0.08832734951
349	0.08826501711
350	0.08824207317
351	0.08821720291
352	0.08816506222
353	0.08811602554
354	0.08807139974
355	0.08803954631
356	0.08800037479
357	0.08797607562
358	0.0878863768
359	0.08786862638
360	0.08785116915
361	0.08771564309
362	0.08760797192
363	0.08756753369
364	0.08751079239
365	0.08747880798
366	0.08739840072
367	0.08736890014
368	0.08733222075
369	0.08727471262
370	0.08722898447
371	0.08719864843
372	0.08715426186
373	0.08712104544
374	0.08707256046
375	0.08705497274
376	0.08703117445
377	0.08700566578
378	0.08696154749
379	0.08694151135
380	0.0869082542
381	0.08685447308
382	0.08681975374
383	0.08678262939
384	0.08672377495
385	0.08668043785
386	0.0866477234
387	0.08660726408
388	0.08658256659
389	0.08655937442
390	0.0865280731
391	0.08649714829
392	0.08645854785
393	0.08643187727
394	0.08637624421
395	0.08635070391
396	0.08631339831
397	0.08628653949
398	0.08626460505
399	0.08624273844
400	0.08620486391
401	0.08619197436
402	0.08614724503
403	0.08609543584
404	0.08606528608
405	0.08602864944
406	0.08598668865
407	0.08596111085
408	0.08594050188
409	0.08590456953
410	0.08587857409
411	0.08585251485
412	0.08583042945
413	0.08581188089
414	0.08576814174
415	0.08573548942
416	0.08569130638
417	0.08566441216
418	0.08560625487
419	0.08557912123
420	0.08554909314
421	0.08550956003
422	0.08547699925
423	0.08544821252
424	0.08541755731
425	0.08539462469
426	0.08537361761
427	0.08528539632
428	0.08525087946
429	0.08522146957
430	0.08520165446
431	0.08516742994
432	0.08513704332
433	0.0850696514
434	0.08504091373
435	0.08502508309
436	0.08497981645
437	0.08496337917
438	0.08493995234
439	0.08491748526
440	0.0848633493
441	0.08482171283
442	0.08479790319
443	0.0847774996
444	0.08474840005
445	0.08472268582
446	0.08468579049
447	0.08465929059
448	0.08462069823
449	0.08459470434
450	0.08458466039
451	0.0845566968
452	0.08450944409
453	0.08448788094
454	0.08446451836
455	0.08443644642
456	0.08441038448
457	0.08437650474
458	0.08434372738
459	0.08429316867
460	0.08419756842
461	0.08415806413
462	0.08413047498
463	0.08408464555
464	0.08406954369
465	0.08404163703
466	0.08401068193
467	0.08398168417
468	0.0839318798
469	0.08390385921
470	0.08388773316
471	0.08386670752
472	0.08384797115
473	0.08383161604
474	0.08381659058
475	0.08377958023
476	0.08375434859
477	0.08373451904
478	0.08370182333
479	0.08365358383
480	0.08362208305
481	0.0835937663
482	0.08356873518
483	0.0835191725
484	0.08348511298
485	0.08346542314
486	0.08344672035
487	0.08339748167
488	0.08337022469
489	0.08335656821
490	0.083336738
491	0.08330835318
492	0.08329011868
493	0.08325966995
494	0.08323896889
495	0.08320899038
496	0.08317966492
497	0.08314661409
498	0.08313628312
499	0.08311792524
500	0.08307262034
501	0.08304079445
502	0.08302650611
503	0.0830062779
504	0.08295565153
505	0.0829224527
506	0.08290552983
507	0.08287877994
508	0.08285117272
